,Ticker,Start Price,End Price,Price Change,Price Change %
94,APP,28.46,37.92,9.46,33.23963457484189
95,MYOV,7.45,9.9,2.45,32.88590604026846
96,CNTB,0.58,0.77,0.19000000000000006,32.75862068965518
97,XFOR,0.95,1.26,0.31000000000000005,32.631578947368425
98,EQRXW,0.6,0.795,0.19500000000000006,32.500000000000014
99,GBRGR,0.04,0.053,0.012999999999999998,32.49999999999999
100,JGGCR,0.1401,0.1856,0.045499999999999985,32.47680228408279
101,INDIW,1.0601,1.4038,0.3436999999999999,32.42146967267237
102,ANTX,13.94,18.43,4.49,32.209469153515066
103,VRDN,10.06,13.3,3.24,32.20675944333996
104,EQRX,3.385,4.47,1.085,32.05317577548006
105,JCSE,8.5,11.21,2.710000000000001,31.882352941176478
106,BORR,4.02,5.3,1.2800000000000002,31.84079601990051
107,ASRT,2.11,2.78,0.6699999999999999,31.753554502369667
108,AMPGW,0.57,0.75,0.18000000000000005,31.578947368421062
109,EVLVW,0.19,0.25,0.06,31.57894736842105
110,NRDS,7.51,9.88,2.370000000000001,31.557922769640495
111,FTRP,0.73,0.96,0.22999999999999998,31.506849315068493
112,GRCL,2.61,3.43,0.8200000000000003,31.417624521072806
113,MMAT,1.21,1.59,0.3800000000000001,31.40495867768596
114,GRTX,1.35,1.7685,0.41849999999999987,30.99999999999999
115,VTNR,10.88,14.21,3.33,30.60661764705882
116,GFF,23.09,30.11,7.02,30.402771762667818
117,BLU,6.56,8.55,1.990000000000001,30.33536585365855
118,RAPT,10.5601,13.75,3.1898999999999997,30.20710031155008
119,AFRM,17.68,23.02,5.34,30.20361990950226
120,LOCL,4.38,5.69,1.3100000000000005,29.90867579908677
121,SGEN,109.84,142.54,32.69999999999999,29.770575382374354
122,SNOA,2.868,3.72,0.8520000000000003,29.707112970711307
123,DERM,3.07,3.98,0.9100000000000001,29.641693811074926
124,PAYOW,0.54,0.6999,0.15989999999999993,29.6111111111111
125,TCDA,7.35,9.52,2.17,29.523809523809526
126,RBLX,24.85,32.17,7.32,29.45674044265594
127,TPTX,25.13,32.48,7.349999999999998,29.24791086350974
128,TUYA,2.005,2.59,0.585,29.177057356608476
129,DUOL,66.88,86.34,19.460000000000008,29.096889952153127
130,CELH,42.48,54.8,12.32,29.001883239171377
131,GOED,1.295,1.67,0.375,28.95752895752896
132,DBGI,0.2099,0.27,0.060100000000000015,28.632682229633165
133,CMAXW,0.5837,0.750702,0.16700199999999998,28.610930272400203
134,GMGI,3.75,4.82,1.0700000000000003,28.53333333333334
135,RGTI,5.53,7.1,1.5699999999999994,28.390596745027114
136,TCRX,2.0018,2.57,0.5682,28.38445399140774
137,CGEM,8.5,10.89,2.3900000000000006,28.117647058823536
138,CINT,11.645,14.9185,3.2735000000000003,28.110777157578365
139,COHN,12.45,15.9398,3.4898000000000007,28.030522088353422
140,LIONW,0.25,0.3199,0.06990000000000002,27.960000000000008
141,AEY,1.08,1.38,0.2999999999999998,27.777777777777757
142,MICT,0.55,0.7025,0.15249999999999997,27.727272727272716
143,CNEY,1.23,1.57,0.3400000000000001,27.642276422764233
144,ZIVOW,0.627,0.7999,0.17290000000000005,27.575757575757585
145,KNTE,7.925,10.1,2.175,27.444794952681384
146,PKOH,11.41,14.54,3.129999999999999,27.432077125328654
147,GLAQW,0.32,0.4075,0.08749999999999997,27.34374999999999
148,CARV,7.98,10.15,2.17,27.192982456140346
149,SMRT,3.735,4.75,1.0150000000000001,27.175368139223565
150,CTKB,7.79,9.9,2.1100000000000003,27.08600770218229
151,ISSC,7.48,9.5,2.0199999999999996,27.00534759358288
152,TDW,19.94,25.3,5.359999999999999,26.880641925777326
153,AGL,15.17,19.23,4.0600000000000005,26.76334871456823
154,CPNG,10.0,12.67,2.67,26.700000000000003
155,DS,1.2,1.52,0.32000000000000006,26.66666666666667
156,CLPT,7.43,9.4,1.9700000000000006,26.51413189771199
157,CURIW,0.325049,0.41,0.084951,26.13482890271928
158,SOFI,5.51,6.95,1.4400000000000004,26.13430127041743
159,CANO,4.125,5.2,1.0750000000000002,26.060606060606066
160,ZIMV,18.86,23.77,4.91,26.033934252386004
161,FHLTW,0.25,0.315,0.065,26.0
162,JG,0.81,1.02,0.20999999999999996,25.92592592592592
